Jackal.nsf track=0 framerate=60
Square1(56)
time dur note vol
0.083 0.800 G2 10
0.883 0.067 C3 8
0.950 0.067 B2 8
1.017 0.067 C3 8
1.083 0.067 D3 8
1.150 0.067 D#3 8
1.217 0.067 F3 8
1.283 0.067 G3 8
1.350 0.067 A3 8
1.417 0.067 A#3 8
1.483 0.600 D#4 8
2.083 0.600 F4 8
2.683 2.400 G4 7
5.083 0.600 C3 14
5.683 0.600 G2 14
6.283 0.600 C3 14
6.883 0.200 G2 14
7.083 0.200 C3 14
7.283 0.200 D3 14
7.483 0.600 D#3 14
8.083 0.600 A#2 14
8.683 0.600 D#3 14
9.283 0.200 D#2 14
9.483 0.200 A#2 14
9.683 0.200 D#3 14
9.883 0.600 F3 14
10.483 0.200 F2 14
10.683 0.200 C3 14
10.883 0.200 F3 14
11.083 0.600 G3 14
11.683 0.200 G2 14
11.883 0.200 D3 14
12.083 0.200 G3 14
12.283 0.600 G#3 14
12.883 0.200 G#2 14
13.083 0.200 G2 14
13.283 0.200 G#2 14
13.483 0.200 A#2 14
13.683 0.200 A2 14
13.883 0.200 A#2 14
14.083 0.200 D3 14
14.283 0.200 F3 14
14.483 0.200 A#3 14
14.683 0.200 C4 14
14.883 0.200 B3 14
15.083 0.200 C4 14
15.283 0.200 G3 14
15.483 0.200 F#3 14
15.683 0.200 G3 14
15.883 0.200 D#3 14
16.083 0.200 D3 14
16.283 0.200 D#3 14
16.483 0.200 C3 14
16.683 0.200 G2 14
16.883 0.200 D#2 14
17.083 1.200 C2 14
Square2(24)
time dur note vol
0.083 0.800 C2 11
0.883 0.067 G3 15
0.950 0.067 F#3 8
1.017 0.067 G3 8
1.083 0.067 A3 8
1.150 0.067 A#3 8
1.217 0.067 C4 8
1.283 0.067 D4 8
1.350 0.067 D#4 8
1.417 0.067 F4 8
1.483 0.600 G4 9
2.083 0.600 A4 9
2.683 0.900 C5 8
3.600 0.100 C5 1
3.700 0.100 D5 8
3.800 0.100 C5 8
3.900 1.200 B4 8
5.100 2.400 C2 12
7.500 2.400 D#2 12
9.900 1.200 F2 12
11.100 1.200 G2 12
12.300 1.200 G#2 12
13.500 1.200 A#2 12
14.700 3.700 C2 12
Triangle(73)
time dur note vol
0.083 1.300 C4 15
1.483 0.133 D#3 15
1.683 0.133 A#3 15
1.883 0.133 D#4 15
2.083 0.133 F3 15
2.283 0.150 C4 15
2.483 0.150 F4 15
2.683 0.150 G3 15
2.883 0.133 F#3 15
3.083 0.133 G3 15
3.283 0.133 D4 15
3.483 0.133 C#4 15
3.683 0.133 D4 15
3.883 0.400 G4 15
4.483 0.400 G3 15
