Jackal.nsf track=1 framerate=60
Square1(161)
time dur note vol
0.000 0.117 D5 9
0.150 1.317 D5 1
1.500 0.183 D5 1
1.683 0.333 C5 8
2.017 0.683 B4 8
2.700 0.333 G4 8
3.033 0.133 A4 9
3.183 0.067 A4 1
3.250 0.450 D4 8
3.700 0.133 F4 9
3.850 0.533 F4 1
4.383 0.133 A#4 9
4.533 0.517 A#4 1
5.050 0.133 D#5 9
5.200 0.200 D#5 1
5.400 0.100 D#5 8
5.500 0.117 G5 8
5.617 0.117 A#5 8
5.733 0.333 C#6 8
6.067 0.850 A4 9
7.217 4.900 C#3 10
12.117 BEGIN_CYCLE
12.117 0.117 F#4 15
12.250 0.067 F#4 1
12.317 0.100 B4 8
12.417 0.600 F#5 5
13.017 0.100 D#5 7
13.117 0.100 C#5 7
13.217 0.100 B4 7
13.317 0.117 A4 9
13.450 0.067 A4 1
13.517 0.100 C#5 9
13.617 0.600 B4 5
14.217 0.117 A3 8
14.350 0.067 A3 1
14.417 0.100 C#4 8
14.517 0.300 B3 5
14.817 0.300 F#4 5
15.117 0.100 A4 4
15.217 0.100 E4 4
15.317 0.100 A4 5
15.417 0.100 E5 5
15.517 0.100 A4 6
15.617 0.100 E5 7
15.717 0.900 C#5 7
16.617 0.300 B3 5
16.917 1.200 A#3 6
18.117 0.300 D#3 8
18.417 0.300 G#4 5
18.717 0.400 F#4 5
19.117 0.100 D#4 8
19.217 0.100 B3 8
19.317 0.600 C#4 7
19.917 0.600 D#4 7
20.517 0.300 D#3 8
20.817 0.300 G#4 5
21.117 0.400 F#4 5
21.517 0.100 D#4 5
21.617 0.100 B3 5
21.717 0.300 E4 15
22.017 0.300 F#4 4
22.317 0.300 G#4 7
22.617 0.300 A#4 7
22.917 0.300 A4 7
23.217 0.400 E4 8
23.617 0.100 C#4 7
23.717 0.100 E4 7
23.817 0.100 A4 7
23.917 0.100 E4 7
24.017 0.100 A4 7
24.117 0.300 C#5 7
24.417 0.300 C#4 6
24.717 0.300 E4 7
25.017 0.300 A4 8
25.317 0.300 B4 8
25.617 0.400 F#4 8
26.017 0.100 E4 7
26.117 0.100 F#4 7
26.217 0.100 B4 7
26.317 0.100 F#4 7
26.417 0.100 B4 7
26.517 0.300 D#5 7
26.817 0.100 B3 1
